id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-6961,2025-07-11,000001,Vente,500,,,LES EQUIMOCHES,B020,01630,01401,Sergy,01,,,014010000C2272,,,,,,,,,,,,,0,,,,,S,sols,,,37,5.998577,46.249315
2025-6961,2025-07-11,000001,Vente,500,,,LES EQUIMOCHES,B020,01630,01401,Sergy,01,,,014010000C2275,,,,,,,,,,,,,0,,,,,S,sols,,,576,5.998668,46.249424
2025-6961,2025-07-11,000001,Vente,500,,,LES EQUIMOCHES,B020,01630,01401,Sergy,01,,,014010000C2283,,,,,,,,,,,,,0,,,,,S,sols,,,671,5.99852,46.249891
2025-6961,2025-07-11,000001,Vente,500,,,LES EQUIMOCHES,B020,01630,01401,Sergy,01,,,014010000C2753,,,,,,,,,,,,,0,,,,,S,sols,,,92,5.998792,46.249827
2025-7313,2025-07-22,000001,Vente,335000,128,,CHE DU RECULET,0165,01630,01401,Sergy,01,,,014010000B0745,,,2,118.6,,,,,,,,,1,3,Dépendance,,0,,,,,,5.992255,46.256641
2025-7313,2025-07-22,000001,Vente,335000,128,,CHE DU RECULET,0165,01630,01401,Sergy,01,,,014010000B0745,,,2,118.6,,,,,,,,,1,2,Appartement,85,3,,,,,,5.992255,46.256641
2025-7313,2025-07-22,000001,Vente,335000,128,,CHE DU RECULET,0165,01630,01401,Sergy,01,,,014010000B0745,,,2,118.6,,,,,,,,,1,3,Dépendance,,0,,,,,,5.992255,46.256641
2025-7769,2025-07-30,000001,Vente,510000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C1650,,,,,,,,,,,,,0,,,,,S,sols,,,10,5.999689,46.25249
2025-7769,2025-07-30,000001,Vente,510000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C1652,,,,,,,,,,,,,0,,,,,S,sols,,,22,5.999673,46.252463
2025-7769,2025-07-30,000001,Vente,510000,37,,RUE DE LA FONTAINE,0055,01630,01401,Sergy,01,,,014010000C2419,,,,,,,,,,,,,0,1,Maison,130,6,J,jardins,,,610,5.999778,46.252607
2025-7769,2025-07-30,000001,Vente,510000,37,,RUE DE LA FONTAINE,0055,01630,01401,Sergy,01,,,014010000C2419,,,,,,,,,,,,,0,1,Maison,130,6,S,sols,,,236,5.999778,46.252607
2025-7769,2025-07-30,000001,Vente,510000,37,,RUE DE LA FONTAINE,0055,01630,01401,Sergy,01,,,014010000C2419,,,,,,,,,,,,,0,3,Dépendance,,0,J,jardins,,,610,5.999778,46.252607
2025-7769,2025-07-30,000001,Vente,510000,37,,RUE DE LA FONTAINE,0055,01630,01401,Sergy,01,,,014010000C2419,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,236,5.999778,46.252607
2025-7769,2025-07-30,000001,Vente,510000,37,,RUE DE LA FONTAINE,0055,01630,01401,Sergy,01,,,014010000C2419,,,,,,,,,,,,,0,3,Dépendance,,0,J,jardins,,,610,5.999778,46.252607
2025-7769,2025-07-30,000001,Vente,510000,37,,RUE DE LA FONTAINE,0055,01630,01401,Sergy,01,,,014010000C2419,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,236,5.999778,46.252607
2025-7827,2025-08-08,000001,Vente,165000,1082,,AV DU JURA,0090,01630,01401,Sergy,01,,,014010000C1469,,,1,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.010076,46.248988
2025-7827,2025-08-08,000001,Vente,165000,1082,,AV DU JURA,0090,01630,01401,Sergy,01,,,014010000C1469,,,23,67.79,,,,,,,,,1,2,Appartement,72,3,,,,,,6.010076,46.248988
2025-8548,2025-08-28,000001,Vente,835000,,,LA VERPILLIERE,B058,01630,01401,Sergy,01,,,014010000B0973,,,,,,,,,,,,,0,,,,,S,sols,,,217,5.994469,46.261459
2025-8548,2025-08-28,000001,Vente,835000,85,,CHE DU CHATAIGNIER,0026,01630,01401,Sergy,01,,,014010000B1620,,,,,,,,,,,,,0,1,Maison,232,7,S,sols,,,1000,5.993832,46.261721
2025-8548,2025-08-28,000001,Vente,835000,85,,CHE DU CHATAIGNIER,0026,01630,01401,Sergy,01,,,014010000B1620,,,,,,,,,,,,,0,1,Maison,232,7,AG,terrains d'agrément,,,468,5.993832,46.261721
2025-8639,2025-09-01,000001,Vente,900000,,,LES LONGETS,B033,01630,01401,Sergy,01,,,014010000C1766,,,,,,,,,,,,,0,,,,,S,sols,,,25,6.005117,46.25087
2025-8639,2025-09-01,000001,Vente,900000,,,LES LONGETS,B033,01630,01401,Sergy,01,,,014010000C1769,,,,,,,,,,,,,0,,,,,S,sols,,,7,6.004835,46.250691
2025-8639,2025-09-01,000001,Vente,900000,66,,RUE DE LA PLONGETTE,0147,01630,01401,Sergy,01,,,014010000C2480,,,,,,,,,,,,,0,1,Maison,171,4,S,sols,,,970,6.005411,46.251008
2025-8758,2025-08-21,000001,Vente,270000,,,EN GENEVRY,B027,01630,01401,Sergy,01,,,014010000B1731,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,,,453,5.991692,46.261469
2025-8761,2025-09-10,000001,Vente,842678,357,,CHE DE MUSSEL,0130,01630,01401,Sergy,01,,,014010000C2457,,,,,,,,,,,,,0,1,Maison,138,5,S,sols,,,919,6.003271,46.25048
2025-9522,2025-10-02,000001,Vente,370000,73,,AV DU JURA,0090,01630,01401,Sergy,01,,,014010000C2321,,,32,,6,73.26,,,,,,,2,3,Dépendance,,0,,,,,,5.999247,46.253616
2025-9522,2025-10-02,000001,Vente,370000,73,,AV DU JURA,0090,01630,01401,Sergy,01,,,014010000C2321,,,32,,6,73.26,,,,,,,2,2,Appartement,75,3,,,,,,5.999247,46.253616
2025-9522,2025-10-02,000001,Vente,370000,73,,AV DU JURA,0090,01630,01401,Sergy,01,,,014010000C2321,,,59,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.999247,46.253616
2025-9522,2025-10-02,000001,Vente,370000,73,,AV DU JURA,0090,01630,01401,Sergy,01,,,014010000C2321,,,43,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.999247,46.253616
2025-9609,2025-09-25,000001,Vente en l'état futur d'achèvement,414000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2852,,,26,,,,,,,,,,1,,,,,,,,,,6.000856,46.251725
2025-9609,2025-09-25,000001,Vente en l'état futur d'achèvement,414000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2852,,,8,,,,,,,,,,1,,,,,,,,,,6.000856,46.251725
2025-9609,2025-09-25,000001,Vente en l'état futur d'achèvement,414000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2852,,,16,,,,,,,,,,1,,,,,,,,,,6.000856,46.251725
2025-10545,2025-10-20,000001,Vente,600000,1583,,AV DU JURA,0090,01630,01401,Sergy,01,,,014010000C1778,,,,,,,,,,,,,0,1,Maison,141,7,S,sols,,,2000,6.015719,46.24604
2025-10821,2025-10-16,000001,Vente,360000,116,,CHE DE LA RAMAZ,0160,01630,01401,Sergy,01,,,014010000B1250,,,170,,183,85.6,,,,,,,2,3,Dépendance,,0,,,,,,5.990673,46.259753
2025-10821,2025-10-16,000001,Vente,360000,116,,CHE DE LA RAMAZ,0160,01630,01401,Sergy,01,,,014010000B1250,,,170,,183,85.6,,,,,,,2,2,Appartement,86,4,,,,,,5.990673,46.259753
