code_commune|surface|type_local|etiquette_dpe|annee_construction|annee_mutation|prix_m2
01354|52|Appartement|D|2003|2025|5173
01173|50|Appartement|E|1989|2025|3700
01281|42|Appartement|F|1976|2025|3941
01281|41|Appartement|C||2025|5829
01313|42|Appartement|C|1987|2025|6364
01173|50|Appartement|D|1988|2025|4897
01173|134|Appartement|F||2025|2754
01419|120|Maison|E|1992|2025|3815
01173|71|Appartement|F|1947|2025|1148
01173|45|Appartement|C|2004|2025|5222
01354|190|Appartement|C|2017|2025|4818
01313|82|Appartement|D|1973|2025|4415
01160|30|Appartement|D|1987|2025|4167
01160|96|Appartement|E|1900|2025|6458
01160|127|Local industriel. commercial ou assimilé|E|1900|2025|4882
01281|366|Appartement|A|2004|2025|3689
01281|45|Appartement|C|2015|2025|5778
01313|50|Appartement|E||2025|5200
01160|70|Appartement|C|2014|2025|4980
01354|133|Appartement|C|2011|2025|4504
01160|93|Appartement|C|2015|2025|5860
01160|84|Appartement|D|1985|2025|4048
01160|61|Appartement|F|1992|2025|6131
01354|48|Appartement|C|2014|2025|5748
01160|82|Appartement|D|1980|2025|3049
01354|133|Appartement|C|2013|2025|4586
01354|32|Appartement|D|2004|2025|5719
01313|115|Appartement|E|1968|2025|4261
01173|43|Appartement|D|1992|2025|4070
01071|67|Appartement|D||2025|4739
01160|22|Local industriel. commercial ou assimilé|F|1985|2025|2591
01160|68|Appartement|F|1979|2025|4338
01281|57|Appartement|C||2025|6140
01173|47|Appartement|C|2015|2025|4553
01160|82|Appartement|C|2014|2025|2195
01313|40|Appartement|C|2018|2025|7302
01160|58|Appartement|C|2021|2025|7328
01354|121|Maison|D|1977|2025|5124
01354|86|Appartement|C|2015|2025|4716
01419|88|Appartement|D|1989|2025|5102
01419|116|Maison|C|2001|2025|4052
01354|91|Appartement|F|1980|2025|3286
01160|46|Appartement|E||2025|4565
01173|84|Appartement|C|2004|2025|4469
01401|42|Appartement|C|2011|2025|4680
01173|67|Appartement|D||2025|5000
01281|84|Appartement|D|2000|2025|4405
01071|44|Appartement|C|2006|2025|4318
01173|77|Appartement|C|2012|2025|4416
01313|123|Appartement|C|2010|2025|4065
01419|149|Appartement|B|2012|2025|6577
01281|95|Appartement|C|2009|2025|4699
01354|80|Appartement|C||2025|3875
01160|65|Appartement|C|2020|2025|5615
01160|72|Appartement|C|2013|2025|5417
01313|104|Appartement|E|1968|2025|3894
01354|80|Local industriel. commercial ou assimilé|E|1975|2025|1875
01354|96|Appartement|E|1975|2025|3771
01160|86|Appartement|E|1968|2025|1395
01173|45|Appartement|C|2015|2025|5667
01173|66|Appartement|C|1990|2025|4002
01160|71|Appartement|E|1968|2025|3310
01160|91|Maison|D|1989|2025|4896
01281|61|Appartement|F|1976|2025|2590
01173|46|Appartement|C|2008|2025|4978
01173|58|Appartement|C|2014|2025|4655
01173|67|Appartement|C|2004|2025|3582
01173|46|Appartement|D|1992|2025|3859
01160|39|Appartement|E|1980|2025|4359
01173|42|Appartement|C|2015|2025|5119
01281|83|Appartement|F|1976|2025|4048
01313|100|Appartement|E|1968|2025|3850
01160|68|Appartement|C|2013|2025|5441
01313|105|Maison|C|1993|2025|6190
01160|105|Appartement|C||2025|6477
01354|48|Appartement|D||2025|6493
01173|48|Appartement|C||2025|5625
01354|80|Appartement|D||2025|3438
01173|70|Appartement|C|1987|2025|5786
01160|67|Local industriel. commercial ou assimilé|C|2015|2025|8209
01354|52|Appartement|D|2013|2025|5481
01419|97|Maison|C|1990|2025|9794
01313|60|Appartement|C|2018|2025|6679
01173|67|Appartement|C|2015|2025|4693
01071|62|Appartement|C|2006|2025|5484
01173|67|Appartement|C|2015|2025|5373
01160|66|Appartement|C|2021|2025|5759
01160|33|Appartement|E|1900|2025|9394
01160|63|Appartement|E|1900|2025|3794
01313|102|Appartement|E|1968|2025|3833
01160|76|Appartement|B|2015|2025|5526
01071|106|Appartement|C||2025|4245
01354|87|Appartement|C|2015|2025|4586
01354|57|Appartement|C|2015|2025|5421
01313|104|Appartement|C|2015|2025|6971
01401|92|Appartement|E|1880|2025|4488
01173|80|Appartement|C|1880|2025|3250
01401|26|Appartement|C|2011|2025|6423
01313|69|Appartement|C|2006|2025|4783
01173|60|Appartement|C|2014|2025|5250
01313|30|Appartement|C|2016|2025|6508
01354|68|Appartement|C||2025|5368
01173|35|Appartement|C|2008|2025|5229
01419|81|Appartement|E||2025|2420
01160|85|Appartement|E||2025|3529
01354|65|Appartement|D|2000|2025|5098
01354|57|Appartement|C|2015|2025|4889
01354|91|Appartement|C|2015|2025|4286
01173|47|Appartement|C|2015|2025|5319
01160|50|Appartement|E||2025|4680
01313|90|Appartement|C|2017|2025|5667
01313|128|Maison|C|2001|2025|5234
01173|56|Appartement|D|1992|2025|3554
01173|130|Maison|C|2006|2025|4538
01160|130|Appartement|D|1980|2025|3462
01173|69|Appartement|F|1980|2025|3329
01071|82|Appartement|C|2010|2025|4831
01173|77|Appartement|F|1965|2025|3442
01354|53|Appartement|D|2013|2025|5283
01313|82|Appartement|C|1987|2025|4878
01173|24|Appartement|C|2014|2025|6542
01354|49|Appartement|G|1971|2025|5918
01160|86|Appartement|C|1972|2025|4070
01354|80|Appartement|C|2015|2025|4562
01173|47|Appartement|C||2025|4362
01313|41|Appartement|E|1968|2025|9756
01354|47|Appartement|D|2004|2025|4787
01160|26|Appartement|C||2025|8048
01160|53|Appartement|F|1979|2025|3994
01281|94|Appartement|D|1994|2025|5053
01071|65|Appartement|C|2015|2025|4692
01071|57|Appartement|D|2011|2025|4018
01281|91|Appartement|C|2009|2025|5934
01173|134|Appartement|G|1900|2025|1448
01354|53|Appartement|C|2015|2025|5094
01160|50|Appartement|C|2014|2025|5163
01173|60|Local industriel. commercial ou assimilé|G||2025|5917
01160|69|Appartement|D|1990|2025|5362
01313|57|Appartement|F||2025|5088
01173|70|Appartement|E|2008|2025|4786
01173|46|Appartement|C|2014|2025|4978
01313|45|Appartement|C|2010|2025|5444
01313|137|Appartement|C|2016|2025|5220
01173|47|Appartement|E|2008|2025|4787
01173|34|Local industriel. commercial ou assimilé|E|1973|2025|3529
01281|81|Appartement|D|1987|2025|5062
01313|44|Appartement|C|2006|2025|6136
01354|80|Appartement|C|2015|2025|4625
01173|88|Appartement|E|2008|2025|4886
01173|66|Appartement|C|2012|2025|4167
01173|37|Appartement|C|1985|2025|3514
01354|69|Appartement|D|1976|2025|4565
01160|101|Maison|D|1989|2025|5050
01173|61|Appartement|C|2008|2025|4541
01281|63|Appartement|D|1992|2025|5565
01354|47|Appartement|D|1980|2025|4942
01313|42|Appartement|D|2017|2025|6310
01281|44|Appartement|C||2025|5653
01281|73|Appartement|C|2021|2025|6034
01354|205|Appartement|C|2013|2025|4766
01313|87|Appartement|E||2025|4471
01173|50|Appartement|D|1990|2025|4600
01160|54|Appartement|E|1988|2025|5148
01160|68|Appartement|D|1977|2025|3551
01354|57|Appartement|C|2015|2025|4614
01160|76|Appartement|E|1968|2025|3634
01160|87|Appartement|D||2025|5506
01173|43|Appartement|C|2013|2025|4186
01160|135|Local industriel. commercial ou assimilé|C|2008|2025|2741
01354|63|Appartement|F|1967|2025|2746
01071|42|Appartement|C|2015|2025|6405
01354|71|Appartement|C|2014|2025|5479
01173|89|Appartement|C||2025|5281
01354|120|Maison|C|2007|2025|5258
01173|62|Appartement|D||2025|5516
01071|47|Appartement|C|2010|2025|4468
01173|66|Appartement|C|2012|2025|4545
01419|106|Appartement|D|2009|2025|5075
01071|91|Appartement|C|2010|2025|3956
01313|70|Appartement|E||2025|5272
01354|65|Appartement|C|2014|2025|5692
01160|69|Appartement|C|2014|2025|4729
01173|33|Appartement|C|1990|2025|4545
01313|71|Appartement|C|2010|2025|4765
01354|133|Appartement|B|2017|2025|4850
01173|61|Appartement|C|2008|2025|4508
01419|118|Appartement|C|2010|2025|2881
01173|70|Appartement|E|2008|2025|4643
01173|115|Maison|F|1975|2025|5043
01419|86|Appartement|C|2012|2025|4872
01173|83|Appartement|C|2015|2025|4458
01173|42|Appartement|E|1989|2025|5000
01173|97|Appartement|C||2025|2567
01173|83|Appartement|C|2015|2025|4518
01354|72|Appartement|C|2015|2025|5385
01160|62|Appartement|E||2025|5308
01173|24|Appartement|E|1989|2025|5375
01354|131|Appartement|C|2011|2025|5076
01071|70|Appartement|C|2018|2025|5500
01160|83|Appartement|E|1987|2025|5720
01354|69|Appartement|C|2000|2025|3986
01173|114|Local industriel. commercial ou assimilé|E|1842|2025|1754
01071|83|Appartement|C|2006|2025|4446
01354|75|Appartement|D|2013|2025|5133
01160|53|Appartement|D|1987|2025|6484
01419|34|Appartement|D|1994|2025|5000
01160|96|Appartement|F|1900|2025|3906
01173|75|Appartement|D|1990|2025|4267
01173|41|Appartement|E|1900|2025|3878
01419|37|Appartement|D|2009|2025|5270
01173|23|Local industriel. commercial ou assimilé|C|1880|2025|2565
01173|52|Appartement|C|2008|2025|4712
01354|153|Appartement|C|2012|2025|4365
01354|80|Appartement|C|2015|2025|4188
01419|101|Maison|G|1970|2025|4455
01173|83|Appartement|D|1990|2025|4446
01313|123|Appartement|C|2010|2025|5033
01173|53|Appartement|D|1999|2025|3208
01071|70|Appartement|C|2010|2025|4000
01313|87|Appartement|D|2012|2025|5470
01071|70|Appartement|C|2010|2025|4000
01173|63|Appartement|C|2014|2025|5238
01281|47|Appartement|C|2014|2025|5532
01173|93|Appartement|D|1992|2025|4355
01419|81|Maison|E|1994|2025|5400
01354|69|Appartement|C|2015|2025|4664
01354|70|Appartement|C|2014|2025|5513
01173|71|Appartement|C|2014|2025|4397
01354|67|Appartement|C|1993|2025|4478
01071|45|Appartement|D||2025|4982
01160|159|Local industriel. commercial ou assimilé|C||2025|3962
01281|70|Appartement|C||2025|2426
01173|77|Appartement|D|1990|2025|5065
01354|88|Appartement|D||2025|5444
01419|56|Appartement|D||2025|5000
01313|60|Appartement|D|2017|2025|6500
01173|73|Appartement|C||2025|3932
01160|85|Appartement|D|1988|2025|5000
01173|100|Appartement|C|1880|2025|4150
01419|35|Appartement|D||2025|5086
01419|73|Appartement|D||2025|5452
01173|95|Appartement|C|2013|2025|4421
01419|123|Maison|C|2002|2025|5122
01281|45|Appartement|D||2025|6778
01354|42|Appartement|D|2004|2025|4881
01354|93|Appartement|C|2014|2025|5108
01354|23|Local industriel. commercial ou assimilé|D|2000|2025|2826
01419|44|Appartement|D|2009|2025|5438
01160|78|Appartement|D|1985|2025|3167
01160|101|Appartement|D|1989|2025|4109
01354|84|Appartement|D|2005|2025|4524
01354|53|Appartement|C|2014|2025|5660
01160|79|Appartement|C|2014|2025|6330
01173|49|Appartement|C|2015|2025|4796
01354|71|Appartement|C|2016|2025|5008
01173|65|Appartement|C|2015|2025|4675
01173|28|Local industriel. commercial ou assimilé|C|1900|2025|3036
01071|65|Appartement|C|2015|2025|5462
01354|97|Appartement|D|1976|2025|3093
01401|85|Appartement|E|1850|2025|3941
01071|104|Maison|C|2016|2025|5946
01419|69|Appartement|C|2012|2025|4580
01313|82|Appartement|C|2010|2025|5878
01419|76|Appartement|C|2012|2025|5028
01419|97|Appartement|G|1930|2025|5959
01419|35|Appartement|D||2025|5429
01160|33|Local industriel. commercial ou assimilé|D|2013|2025|1818
