id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-15,2025-01-07,000001,Vente,925000,124,,RUE DES PIVOINES,0111,01210,01281,Ornex,01,,,01281000AE0172,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1000,6.080246,46.285934
2025-15,2025-01-07,000001,Vente,925000,124,,RUE DES PIVOINES,0111,01210,01281,Ornex,01,,,01281000AE0172,,,,,,,,,,,,,0,3,Dépendance,,0,J,jardins,,,779,6.080246,46.285934
2025-15,2025-01-07,000001,Vente,925000,124,,RUE DES PIVOINES,0111,01210,01281,Ornex,01,,,01281000AE0172,,,,,,,,,,,,,0,1,Maison,189,6,J,jardins,,,779,6.080246,46.285934
2025-15,2025-01-07,000001,Vente,925000,124,,RUE DES PIVOINES,0111,01210,01281,Ornex,01,,,01281000AE0172,,,,,,,,,,,,,0,1,Maison,189,6,S,sols,,,1000,6.080246,46.285934
2025-430,2025-01-16,000001,Vente,420000,229,,RUE DU PERE ADAM,0109,01210,01281,Ornex,01,,,01281000AS0053,,,17,95.85,,,,,,,,,1,2,Appartement,95,4,,,,,,6.111007,46.264391
2025-430,2025-01-16,000001,Vente,420000,229,,RUE DU PERE ADAM,0109,01210,01281,Ornex,01,,,01281000AS0053,,,36,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.111007,46.264391
2025-502,2025-01-15,000001,Vente,680000,243,,RUE DES PRALETS,0112,01210,01281,Ornex,01,,,01281000AE0240,,,,,,,,,,,,,0,1,Maison,125,5,S,sols,,,583,6.084645,46.284533
2025-526,2025-01-14,000001,Vente,22000,1730,,RUE DE GENEVE,0091,01210,01281,Ornex,01,,,01281000AT0015,,,40,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.102952,46.262063
2025-686,2025-01-23,000001,Vente,394650,55,,RUE DU SALEVE,0120,01210,01281,Ornex,01,,,01281000AP0083,,,120,,79,84.92,,,,,,,2,3,Dépendance,,0,,,,,,6.098988,46.26814
2025-686,2025-01-23,000001,Vente,394650,55,,RUE DU SALEVE,0120,01210,01281,Ornex,01,,,01281000AP0083,,,120,,79,84.92,,,,,,,2,2,Appartement,88,4,,,,,,6.098988,46.26814
2025-734,2025-01-15,000001,Vente,398000,789,,AV DE VESSY,0145,01210,01281,Ornex,01,,,01281000AS0032,,,46,,52,81,,,,,,,2,2,Appartement,82,4,,,,,,6.114385,46.265118
2025-734,2025-01-15,000001,Vente,398000,789,,AV DE VESSY,0145,01210,01281,Ornex,01,,,01281000AS0032,,,46,,52,81,,,,,,,2,3,Dépendance,,0,,,,,,6.114385,46.265118
2025-734,2025-01-15,000001,Vente,398000,789,,AV DE VESSY,0145,01210,01281,Ornex,01,,,01281000AS0032,,,35,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.114385,46.265118
2025-768,2025-02-06,000001,Vente,455000,58,,RUE DE VESEGNIN,0140,01210,01281,Ornex,01,,,01281000AH0052,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1001,6.083224,46.282332
2025-768,2025-02-06,000001,Vente,455000,58,,RUE DE VESEGNIN,0140,01210,01281,Ornex,01,,,01281000AH0052,,,,,,,,,,,,,0,1,Maison,104,5,S,sols,,,1001,6.083224,46.282332
2025-850,2025-02-06,000001,Vente en l'état futur d'achèvement,55000,,,PRENEPLA,B024,01210,01281,Ornex,01,,,01281000AT0246,,,166,,,,,,,,,,1,,,,,,,,,,6.100864,46.264786
2025-850,2025-02-06,000001,Vente en l'état futur d'achèvement,55000,,,PRENEPLA,B024,01210,01281,Ornex,01,,,01281000AT0246,,,164,,,,,,,,,,1,,,,,,,,,,6.100864,46.264786
2025-850,2025-02-06,000001,Vente en l'état futur d'achèvement,55000,,,PRENEPLA,B024,01210,01281,Ornex,01,,,01281000AT0246,,,167,,,,,,,,,,1,,,,,,,,,,6.100864,46.264786
2025-946,2025-02-13,000001,Vente,449000,1141,,RUE DE GEX,0093,01210,01281,Ornex,01,,,01281000AE0219,,,51,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.085377,46.285186
2025-946,2025-02-13,000001,Vente,449000,1141,,RUE DE GEX,0093,01210,01281,Ornex,01,,,01281000AE0219,,,58,,83,84.75,,,,,,,2,2,Appartement,84,4,,,,,,6.085377,46.285186
2025-946,2025-02-13,000001,Vente,449000,1141,,RUE DE GEX,0093,01210,01281,Ornex,01,,,01281000AE0219,,,58,,83,84.75,,,,,,,2,3,Dépendance,,0,,,,,,6.085377,46.285186
2025-1084,2025-02-11,000001,Vente en l'état futur d'achèvement,445000,,,PRENEPLA,B024,01210,01281,Ornex,01,,,01281000AT0108,,,146,,,,,,,,,,1,,,,,,,,,,6.100272,46.26544
2025-1084,2025-02-11,000001,Vente en l'état futur d'achèvement,445000,,,PRENEPLA,B024,01210,01281,Ornex,01,,,01281000AT0108,,,75,,,,,,,,,,1,,,,,,,,,,6.100272,46.26544
2025-1084,2025-02-11,000001,Vente en l'état futur d'achèvement,445000,,,PRENEPLA,B024,01210,01281,Ornex,01,,,01281000AT0108,,,94,,,,,,,,,,1,,,,,,,,,,6.100272,46.26544
2025-1125,2025-01-30,000003,Vente,350000,,,RUE DU MARCY,0100,01210,01281,Ornex,01,,,01281000AO0484,,,,,,,,,,,,,0,,,,,S,sols,,,103,6.100856,46.269578
2025-1301,2025-01-31,000001,Vente en l'état futur d'achèvement,601000,,,LES CHARBONNIERES,B006,01210,01281,Ornex,01,,,01281000AN0076,,,62,,,,,,,,,,1,,,,,,,,,,6.095943,46.274783
2025-1301,2025-01-31,000001,Vente en l'état futur d'achèvement,601000,,,LES CHARBONNIERES,B006,01210,01281,Ornex,01,,,01281000AN0076,,,55,,,,,,,,,,1,,,,,,,,,,6.095943,46.274783
2025-1301,2025-01-31,000001,Vente en l'état futur d'achèvement,601000,,,LES CHARBONNIERES,B006,01210,01281,Ornex,01,,,01281000AN0076,,,61,,,,,,,,,,1,,,,,,,,,,6.095943,46.274783
2025-1431,2025-02-06,000001,Vente en l'état futur d'achèvement,495000,,,PRENEPLA,B024,01210,01281,Ornex,01,,,01281000AT0108,,,171,,,,,,,,,,1,,,,,,,,,,6.100272,46.26544
2025-1431,2025-02-06,000001,Vente en l'état futur d'achèvement,495000,,,PRENEPLA,B024,01210,01281,Ornex,01,,,01281000AT0108,,,43,,,,,,,,,,1,,,,,,,,,,6.100272,46.26544
2025-1431,2025-02-06,000001,Vente en l'état futur d'achèvement,495000,,,PRENEPLA,B024,01210,01281,Ornex,01,,,01281000AT0108,,,3,,,,,,,,,,1,,,,,,,,,,6.100272,46.26544
2025-1431,2025-02-06,000001,Vente en l'état futur d'achèvement,495000,,,PRENEPLA,B024,01210,01281,Ornex,01,,,01281000AT0108,,,1,,,,,,,,,,1,,,,,,,,,,6.100272,46.26544
2025-1431,2025-02-06,000001,Vente en l'état futur d'achèvement,495000,,,PRENEPLA,B024,01210,01281,Ornex,01,,,01281000AT0108,,,123,,,,,,,,,,1,,,,,,,,,,6.100272,46.26544
2025-1470,2025-02-21,000001,Vente,38000,461,,AV DE VESSY,0145,01210,01281,Ornex,01,,,01281000AS0038,,,99,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.112468,46.263934
2025-1470,2025-02-21,000001,Vente,38000,461,,AV DE VESSY,0145,01210,01281,Ornex,01,,,01281000AS0038,,,98,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.112468,46.263934
2025-1470,2025-02-21,000001,Vente,38000,461,,AV DE VESSY,0145,01210,01281,Ornex,01,,,01281000AS0038,,,72,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.112468,46.263934
2025-1506,2025-02-14,000001,Vente,675000,231,,RUE DES HAUTAINS DE LA CROTTE,0092,01210,01281,Ornex,01,,,01281000AO0038,,,,,,,,,,,,,0,3,Dépendance,,0,AG,terrains d'agrément,,,727,6.101323,46.271692
2025-1506,2025-02-14,000001,Vente,675000,231,,RUE DES HAUTAINS DE LA CROTTE,0092,01210,01281,Ornex,01,,,01281000AO0038,,,,,,,,,,,,,0,1,Maison,107,4,S,sols,,,504,6.101323,46.271692
2025-1506,2025-02-14,000001,Vente,675000,231,,RUE DES HAUTAINS DE LA CROTTE,0092,01210,01281,Ornex,01,,,01281000AO0038,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,504,6.101323,46.271692
2025-1506,2025-02-14,000001,Vente,675000,231,,RUE DES HAUTAINS DE LA CROTTE,0092,01210,01281,Ornex,01,,,01281000AO0038,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,504,6.101323,46.271692
2025-1506,2025-02-14,000001,Vente,675000,231,,RUE DES HAUTAINS DE LA CROTTE,0092,01210,01281,Ornex,01,,,01281000AO0038,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,504,6.101323,46.271692
2025-1506,2025-02-14,000001,Vente,675000,231,,RUE DES HAUTAINS DE LA CROTTE,0092,01210,01281,Ornex,01,,,01281000AO0038,,,,,,,,,,,,,0,3,Dépendance,,0,AG,terrains d'agrément,,,727,6.101323,46.271692
2025-1506,2025-02-14,000001,Vente,675000,231,,RUE DES HAUTAINS DE LA CROTTE,0092,01210,01281,Ornex,01,,,01281000AO0038,,,,,,,,,,,,,0,1,Maison,107,4,AG,terrains d'agrément,,,727,6.101323,46.271692
2025-1506,2025-02-14,000001,Vente,675000,231,,RUE DES HAUTAINS DE LA CROTTE,0092,01210,01281,Ornex,01,,,01281000AO0038,,,,,,,,,,,,,0,3,Dépendance,,0,AG,terrains d'agrément,,,727,6.101323,46.271692
2025-1506,2025-02-14,000001,Vente,675000,,,HAUTAINS DE LA CROTTE,B017,01210,01281,Ornex,01,,,01281000AO0039,,,,,,,,,,,,,0,,,,,S,sols,,,580,6.101288,46.271445
2025-1509,2025-02-13,000001,Vente en l'état futur d'achèvement,657000,,,LES CHARBONNIERES,B006,01210,01281,Ornex,01,,,01281000AN0076,,,14,110,,,,,,,,,1,2,Appartement,110,4,,,,,,6.095943,46.274783
2025-1509,2025-02-13,000001,Vente en l'état futur d'achèvement,657000,,,LES CHARBONNIERES,B006,01210,01281,Ornex,01,,,01281000AN0076,,,106,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.095943,46.274783
2025-1509,2025-02-13,000001,Vente en l'état futur d'achèvement,657000,,,LES CHARBONNIERES,B006,01210,01281,Ornex,01,,,01281000AN0076,,,107,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.095943,46.274783
2025-1546,2025-02-17,000001,Vente en l'état futur d'achèvement,735000,,,LES CHARBONNIERES,B006,01210,01281,Ornex,01,,,01281000AN0076,,,67,,,,,,,,,,1,,,,,,,,,,6.095943,46.274783
2025-1546,2025-02-17,000001,Vente en l'état futur d'achèvement,735000,,,LES CHARBONNIERES,B006,01210,01281,Ornex,01,,,01281000AN0076,,,54,,,,,,,,,,1,,,,,,,,,,6.095943,46.274783
2025-1546,2025-02-17,000001,Vente en l'état futur d'achèvement,735000,,,LES CHARBONNIERES,B006,01210,01281,Ornex,01,,,01281000AN0076,,,66,,,,,,,,,,1,,,,,,,,,,6.095943,46.274783
2025-1626,2025-02-19,000001,Vente,165538,9,,RUE DE LA TOUR,0130,01210,01281,Ornex,01,,,01281000AO0153,,,14,39.07,,,,,,,,,1,2,Appartement,42,2,,,,,,6.097011,46.271042
2025-1626,2025-02-19,000001,Vente,165538,9,,RUE DE LA TOUR,0130,01210,01281,Ornex,01,,,01281000AO0153,,,32,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.097011,46.271042
2025-1626,2025-02-19,000001,Vente,165538,11,,RUE DE LA TOUR,0130,01210,01281,Ornex,01,,,01281000AO0153,,,48,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.097011,46.271042
2025-1650,2025-02-18,000001,Vente,239000,63,,RUE DE VILLARD,0150,01210,01281,Ornex,01,,,01281000AD0129,,,84,41.28,,,,,,,,,1,2,Appartement,41,2,,,,,,6.085244,46.283207
2025-1650,2025-02-18,000001,Vente,239000,63,,RUE DE VILLARD,0150,01210,01281,Ornex,01,,,01281000AD0129,,,20,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.085244,46.283207
2025-1857,2025-03-03,000001,Vente,725550,104,A,RUE DU PARC DE VILLARD,0151,01210,01281,Ornex,01,,,01281000AD0034,,,,,,,,,,,,,0,1,Maison,135,5,S,sols,,,871,6.08277,46.280279
2025-1939,2025-03-13,000002,Vente,1350000,365,,RUE DE BEJOUD,0010,01210,01281,Ornex,01,,,01281000AN0049,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1000,6.095598,46.277415
2025-1939,2025-03-13,000002,Vente,1350000,365,,RUE DE BEJOUD,0010,01210,01281,Ornex,01,,,01281000AN0049,,,,,,,,,,,,,0,3,Dépendance,,0,AG,terrains d'agrément,,,247,6.095598,46.277415
2025-1939,2025-03-13,000002,Vente,1350000,365,,RUE DE BEJOUD,0010,01210,01281,Ornex,01,,,01281000AN0049,,,,,,,,,,,,,0,3,Dépendance,,0,AG,terrains d'agrément,,,247,6.095598,46.277415
2025-1939,2025-03-13,000002,Vente,1350000,365,,RUE DE BEJOUD,0010,01210,01281,Ornex,01,,,01281000AN0049,,,,,,,,,,,,,0,2,Appartement,159,6,AG,terrains d'agrément,,,247,6.095598,46.277415
2025-1939,2025-03-13,000002,Vente,1350000,365,,RUE DE BEJOUD,0010,01210,01281,Ornex,01,,,01281000AN0049,,,,,,,,,,,,,0,3,Dépendance,,0,AG,terrains d'agrément,,,247,6.095598,46.277415
2025-1939,2025-03-13,000002,Vente,1350000,365,,RUE DE BEJOUD,0010,01210,01281,Ornex,01,,,01281000AN0049,,,,,,,,,,,,,0,3,Dépendance,,0,AG,terrains d'agrément,,,247,6.095598,46.277415
2025-1939,2025-03-13,000002,Vente,1350000,365,,RUE DE BEJOUD,0010,01210,01281,Ornex,01,,,01281000AN0049,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1000,6.095598,46.277415
2025-1939,2025-03-13,000002,Vente,1350000,365,,RUE DE BEJOUD,0010,01210,01281,Ornex,01,,,01281000AN0049,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1000,6.095598,46.277415
2025-1939,2025-03-13,000002,Vente,1350000,365,,RUE DE BEJOUD,0010,01210,01281,Ornex,01,,,01281000AN0049,,,,,,,,,,,,,0,2,Appartement,24,1,S,sols,,,1000,6.095598,46.277415
2025-1939,2025-03-13,000002,Vente,1350000,365,,RUE DE BEJOUD,0010,01210,01281,Ornex,01,,,01281000AN0049,,,,,,,,,,,,,0,2,Appartement,159,6,S,sols,,,1000,6.095598,46.277415
2025-1939,2025-03-13,000002,Vente,1350000,365,,RUE DE BEJOUD,0010,01210,01281,Ornex,01,,,01281000AN0049,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1000,6.095598,46.277415
2025-1939,2025-03-13,000002,Vente,1350000,365,,RUE DE BEJOUD,0010,01210,01281,Ornex,01,,,01281000AN0049,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1000,6.095598,46.277415
2025-1939,2025-03-13,000002,Vente,1350000,365,,RUE DE BEJOUD,0010,01210,01281,Ornex,01,,,01281000AN0049,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1000,6.095598,46.277415
2025-1939,2025-03-13,000002,Vente,1350000,365,,RUE DE BEJOUD,0010,01210,01281,Ornex,01,,,01281000AN0049,,,,,,,,,,,,,0,2,Appartement,24,1,AG,terrains d'agrément,,,247,6.095598,46.277415
2025-1939,2025-03-13,000002,Vente,1350000,365,,RUE DE BEJOUD,0010,01210,01281,Ornex,01,,,01281000AN0049,,,,,,,,,,,,,0,3,Dépendance,,0,AG,terrains d'agrément,,,247,6.095598,46.277415
