id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-75,2025-01-02,000001,Vente,1200670,,,LES NOVIRES,B034,01170,01071,Cessy,01,,,01071000AH0099,,,,,,,,,,,,,0,,,,,S,sols,,,68,6.085564,46.320423
2025-75,2025-01-02,000001,Vente,1200670,125,,IMP DU RUISSEAU,0232,01170,01071,Cessy,01,,,01071000AH0107,,,,,,,,,,,,,0,1,Maison,199,6,S,sols,,,588,6.086681,46.319732
2025-75,2025-01-02,000001,Vente,1200670,125,,IMP DU RUISSEAU,0232,01170,01071,Cessy,01,,,01071000AH0107,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,588,6.086681,46.319732
2025-75,2025-01-02,000001,Vente,1200670,,,LES NOVIRES,B034,01170,01071,Cessy,01,,,01071000AH0108,,,,,,,,,,,,,0,,,,,S,sols,,,1032,6.085883,46.320174
2025-75,2025-01-02,000001,Vente,1200670,,,LES NOVIRES,B034,01170,01071,Cessy,01,,,01071000AH0112,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,,,451,6.086861,46.320008
2025-75,2025-01-02,000001,Vente,1200670,,,LES NOVIRES,B034,01170,01071,Cessy,01,,,01071000AH0112,,,,,,,,,,,,,0,,,,,S,sols,,,912,6.086861,46.320008
2025-164,2025-01-14,000002,Vente,11040,,,RTE DE GENEVE,0085,01170,01071,Cessy,01,,,01071000AO0105,,,,,,,,,,,,,0,,,,,S,sols,,,184,6.066278,46.304578
2025-167,2025-01-22,000001,Vente,659630,729,,RUE DU JURA,0115,01170,01071,Cessy,01,,,01071000AC0238,,,,,,,,,,,,,0,1,Maison,105,6,S,sols,,,385,6.067777,46.322703
2025-167,2025-01-22,000001,Vente,659630,,,SUR VILLE,B068,01170,01071,Cessy,01,,,01071000AC0242,,,,,,,,,,,,,0,,,,,S,sols,,,345,6.067777,46.322818
2025-222,2025-01-06,000001,Vente,140000,,,CESSY VILLAGE,B007,01170,01071,Cessy,01,,,01071000AT0333,,,,,,,,,,,,,0,,,,,S,sols,,,365,6.070774,46.317012
