id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-10,2025-01-09,000001,Vente,1165000,171,,RUE DES MORILLES,0245,01710,01419,Thoiry,01,,,01419000BT0214,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,860,5.981131,46.243443
2025-10,2025-01-09,000001,Vente,1165000,171,,RUE DES MORILLES,0245,01710,01419,Thoiry,01,,,01419000BT0214,,,,,,,,,,,,,0,1,Maison,190,5,S,sols,,,860,5.981131,46.243443
2025-10,2025-01-09,000001,Vente,1165000,171,,RUE DES MORILLES,0245,01710,01419,Thoiry,01,,,01419000BT0214,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,860,5.981131,46.243443
2025-77,2025-01-09,000001,Vente,586400,,,LA COLLONGE,B039,01710,01419,Thoiry,01,,,01419000BD0037,,,,,,,,,,,,,0,,,,,P,prés,,,411,5.966376,46.223852
2025-77,2025-01-09,000001,Vente,586400,56,,RUE DU PARAY,0268,01710,01419,Thoiry,01,,,01419000BD4157,,,,,,,,,,,,,0,1,Maison,113,6,S,sols,,,743,5.966507,46.223864
2025-683,2025-01-17,000001,Vente,398000,27,,RUE DES VERGERS,0367,01710,01419,Thoiry,01,,,01419000BO0052,,,99,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.976037,46.23651
2025-683,2025-01-17,000001,Vente,398000,75,,RUE DES VERGERS,0367,01710,01419,Thoiry,01,,,01419000BO0052,,,52,77.61,7,,,,,,,,2,3,Dépendance,,0,,,,,,5.976037,46.23651
2025-683,2025-01-17,000001,Vente,398000,75,,RUE DES VERGERS,0367,01710,01419,Thoiry,01,,,01419000BO0052,,,52,77.61,7,,,,,,,,2,2,Appartement,73,3,,,,,,5.976037,46.23651
2025-841,2025-01-30,000001,Vente,210000,45,,RUE DES VERGERS,0367,01710,01419,Thoiry,01,,,01419000BO0052,,,141,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.976037,46.23651
2025-841,2025-01-30,000001,Vente,210000,45,,RUE DES VERGERS,0367,01710,01419,Thoiry,01,,,01419000BO0052,,,121,,162,42.92,,,,,,,2,2,Appartement,43,2,,,,,,5.976037,46.23651
2025-994,2025-01-29,000001,Vente,449000,557,,RUE BRIAND STRESEMANN,0038,01710,01419,Thoiry,01,,,01419000BN0012,,,,,,,,,,,,,0,1,Maison,107,6,S,sols,,,593,5.979204,46.233657
2025-994,2025-01-29,000001,Vente,449000,,,THOIRY,B150,01710,01419,Thoiry,01,,,01419000BN0111,,,,,,,,,,,,,0,,,,,S,sols,,,71,5.979035,46.233623
2025-1127,2025-02-11,000001,Vente,259800,75,,RUE DES VERGERS,0367,01710,01419,Thoiry,01,,,01419000BO0052,,,26,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.976037,46.23651
2025-1127,2025-02-11,000001,Vente,259800,75,,RUE DES VERGERS,0367,01710,01419,Thoiry,01,,,01419000BO0052,,,12,,47,55.6,,,,,,,2,2,Appartement,56,3,,,,,,5.976037,46.23651
2025-1164,2025-01-09,000005,Echange,188910,,,SUR LE CREUX,B042,01710,01419,Thoiry,01,,,01419000AY0016,,,,,,,,,,,,,0,,,,,T,terres,,,6297,5.985599,46.233336
2025-1164,2025-01-09,000006,Echange,188910,,,SUR LE CREUX,B042,01710,01419,Thoiry,01,,,01419000AY0140,,,,,,,,,,,,,0,,,,,T,terres,,,5577,5.988377,46.232815
2025-1164,2025-01-09,000006,Echange,188910,,,VERS LA CARRIERE,B158,01710,01419,Thoiry,01,,,014190000G0691,,,,,,,,,,,,,0,,,,,P,prés,,,710,5.968141,46.243049
2025-1164,2025-01-09,000006,Echange,188910,,,VERS LA CARRIERE,B158,01710,01419,Thoiry,01,,,014190000G1393,,,,,,,,,,,,,0,,,,,L,landes,,,1112,5.966099,46.241354
2025-1164,2025-01-09,000006,Echange,188910,,,VERS LA CARRIERE,B158,01710,01419,Thoiry,01,,,014190000G2456,,,,,,,,,,,,,0,,,,,BM,futaies mixtes,,,4000,5.968041,46.243337
2025-1164,2025-01-09,000006,Echange,188910,,,VERS LA CARRIERE,B158,01710,01419,Thoiry,01,,,014190000G2458,,,,,,,,,,,,,0,,,,,L,landes,,,2863,5.967937,46.242926
2025-1164,2025-01-09,000006,Echange,188910,,,VERS LA CARRIERE,B158,01710,01419,Thoiry,01,,,014190000G2460,,,,,,,,,,,,,0,,,,,P,prés,,,11043,5.967284,46.242632
2025-1164,2025-01-09,000006,Echange,188910,,,MOLIE,B086,01710,01419,Thoiry,01,,,014190000G2463,,,,,,,,,,,,,0,,,,,L,landes,,,8934,5.966132,46.24059
2025-1164,2025-01-09,000006,Echange,188910,,,MOLIE,B086,01710,01419,Thoiry,01,,,014190000G2464,,,,,,,,,,,,,0,,,,,L,landes,,,23177,5.964497,46.240046
2025-1164,2025-01-09,000006,Echange,188910,,,EN BASSE RUCHE,B009,01710,01419,Thoiry,01,,,014190000G2466,,,,,,,,,,,,,0,,,,,L,landes,,,48408,5.9613,46.239703
2025-1164,2025-01-09,000006,Echange,188910,,,EN BASSE RUCHE,B009,01710,01419,Thoiry,01,,,014190000G2468,,,,,,,,,,,,,0,,,,,L,landes,,,43710,5.960646,46.238564
2025-1327,2025-02-26,000001,Vente,860000,257,,RUE DES HAUTS DE THOIRY,0179,01710,01419,Thoiry,01,,,01419000BR0112,,,,,,,,,,,,,0,1,Maison,380,7,S,sols,,,2044,5.971784,46.240584
2025-1327,2025-02-26,000001,Vente,860000,257,,RUE DES HAUTS DE THOIRY,0179,01710,01419,Thoiry,01,,,01419000BR0112,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,2044,5.971784,46.240584
2025-1387,2025-02-28,000001,Vente,750000,,,PRE DE L HOUCHE,B120,01710,01419,Thoiry,01,,,01419000BW0090,,,,,,,,,,,,,0,,,,,S,sols,,,1539,5.985742,46.243101
2025-1387,2025-02-28,000001,Vente,750000,119,,RUE CLOS DES TILLEULS,0064,01710,01419,Thoiry,01,,,01419000BW0094,,,,,,,,,,,,,0,1,Maison,156,7,S,sols,,,1000,5.985771,46.243586
2025-1497,2025-02-03,000001,Vente,612600,6,,RUE DES PRIMEVERES,0300,01710,01419,Thoiry,01,,,01419000BO0353,,,,,,,,,,,,,0,1,Maison,136,6,S,sols,,,928,5.976242,46.234031
2025-1545,2025-02-17,000001,Vente,120000,81,,PL DE LA MAIRIE,0206,01710,01419,Thoiry,01,,,01419000BN0036,,,103,59,,,,,,,,,1,4,Local industriel. commercial ou assimilé,59,0,,,,,,5.980747,46.235901
2025-1556,2025-03-05,000001,Vente,46000,185,,AV DU MONT BLANC,0234,01710,01419,Thoiry,01,,,01419000AE0066,,,87,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,25,0,,,,,,6.010126,46.237455
2025-1581,2025-02-10,000001,Vente,375000,80,,RUE DU PETIT CHAMP,0275,01710,01419,Thoiry,01,,,01419000BR0100,,,4,94.35,,,,,,,,,1,1,Maison,102,4,,,,,,5.973763,46.241432
2025-1696,2025-02-20,000001,Vente,457800,3,,RUE DE LA BELETTE,0016,01710,01419,Thoiry,01,,,01419000BP0069,,,2,119.3,,,,,,,,,1,1,Maison,120,4,,,,,,5.971593,46.238469
2025-1696,2025-02-20,000001,Vente,457800,,,FERGOT,B055,01710,01419,Thoiry,01,,,01419000BP0070,,,,,,,,,,,,,0,,,,,S,sols,,,863,5.971879,46.238636
2025-1696,2025-02-20,000001,Vente,457800,,,FERGOT,B055,01710,01419,Thoiry,01,,,01419000BP0072,,,,,,,,,,,,,0,,,,,S,sols,,,205,5.972246,46.238876
2025-1727,2025-02-21,000001,Vente,754631,255,,RUE DES RAIRETS,0317,01710,01419,Thoiry,01,,,01419000BL0108,,,,,,,,,,,,,0,1,Maison,146,4,S,sols,,,720,5.972642,46.232254
2025-2083,2025-03-05,000001,Vente,950000,,,CHAMP DE LA CROIX,B024,01710,01419,Thoiry,01,,,01419000BM0023,,,,,,,,,,,,,0,,,,,S,sols,,,115,5.973137,46.231757
2025-2083,2025-03-05,000001,Vente,950000,,,CHAMP DE LA CROIX,B024,01710,01419,Thoiry,01,,,01419000BM0024,,,,,,,,,,,,,0,,,,,S,sols,,,62,5.973178,46.231838
2025-2083,2025-03-05,000001,Vente,950000,,,CHAMP DE LA CROIX,B024,01710,01419,Thoiry,01,,,01419000BM0025,,,,,,,,,,,,,0,,,,,S,sols,,,109,5.973248,46.231882
2025-2083,2025-03-05,000001,Vente,950000,,,CHAMP DE LA CROIX,B024,01710,01419,Thoiry,01,,,01419000BM0026,,,,,,,,,,,,,0,,,,,S,sols,,,20,5.973633,46.231904
2025-2083,2025-03-05,000001,Vente,950000,,,CHAMP DE LA CROIX,B024,01710,01419,Thoiry,01,,,01419000BM0027,,,,,,,,,,,,,0,,,,,S,sols,,,557,5.973406,46.231843
2025-2083,2025-03-05,000001,Vente,950000,,,CHAMP DE LA CROIX,B024,01710,01419,Thoiry,01,,,01419000BM0028,,,,,,,,,,,,,0,,,,,S,sols,,,169,5.973377,46.231733
2025-2083,2025-03-05,000001,Vente,950000,420,,RUE DES TAMARIS,0347,01710,01419,Thoiry,01,,,01419000BM0029,,,,,,,,,,,,,0,1,Maison,212,5,S,sols,,,304,5.973318,46.231666
2025-2083,2025-03-05,000001,Vente,950000,,,CHAMP DE LA CROIX,B024,01710,01419,Thoiry,01,,,01419000BM0030,,,,,,,,,,,,,0,,,,,S,sols,,,61,5.973489,46.231539
2025-2083,2025-03-05,000001,Vente,950000,,,CHAMP DE LA CROIX,B024,01710,01419,Thoiry,01,,,01419000BM0031,,,,,,,,,,,,,0,,,,,S,sols,,,39,5.973625,46.231472
2025-2164,2025-03-13,000001,Vente,316400,464,,RUE DU BREU,0033,01710,01419,Thoiry,01,,,01419000BN0164,,,51,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.980102,46.232378
