id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-30,2025-01-06,000002,Vente,1,,,MOENS VILLAGE,B059,01280,01313,Prévessin-Moëns,01,,,01313251BD0370,,,,,,,,,,,,,0,,,,,S,sols,,,33,6.094167,46.263831
2025-224,2025-01-03,000002,Vente,10250,,,BEL AIR,B004,01280,01313,Prévessin-Moëns,01,,,01313000AW0091,,,,,,,,,,,,,0,,,,,S,sols,,,41,6.066401,46.254858
2025-231,2025-01-20,000001,Vente,600000,121,,CHE DES BERGERONNETTES,0019,01280,01313,Prévessin-Moëns,01,,,01313251BH0097,,,47,270.42,54,,,,,,,,2,3,Dépendance,,0,,,,,,6.095494,46.258114
2025-231,2025-01-20,000001,Vente,600000,121,,CHE DES BERGERONNETTES,0019,01280,01313,Prévessin-Moëns,01,,,01313251BH0097,,,66,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.095494,46.258114
2025-231,2025-01-20,000001,Vente,600000,121,,CHE DES BERGERONNETTES,0019,01280,01313,Prévessin-Moëns,01,,,01313251BH0097,,,47,270.42,54,,,,,,,,2,2,Appartement,263,8,,,,,,6.095494,46.258114
2025-231,2025-01-20,000001,Vente,600000,121,,CHE DES BERGERONNETTES,0019,01280,01313,Prévessin-Moëns,01,,,01313251BH0097,,,48,270.42,55,,,,,,,,2,3,Dépendance,,0,,,,,,6.095494,46.258114
2025-231,2025-01-20,000001,Vente,600000,121,,CHE DES BERGERONNETTES,0019,01280,01313,Prévessin-Moëns,01,,,01313251BH0097,,,67,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.095494,46.258114
2025-231,2025-01-20,000001,Vente,600000,121,,CHE DES BERGERONNETTES,0019,01280,01313,Prévessin-Moëns,01,,,01313251BH0097,,,48,270.42,55,,,,,,,,2,2,Appartement,263,8,,,,,,6.095494,46.258114
2025-236,2025-01-21,000001,Vente,292100,186,,CHE DES HERISSONS,0057,01280,01313,Prévessin-Moëns,01,,,01313000AP0151,,,37,40,,,,,,,,,1,2,Appartement,40,2,,,,,,6.074107,46.248355
2025-236,2025-01-21,000001,Vente,292100,186,,CHE DES HERISSONS,0057,01280,01313,Prévessin-Moëns,01,,,01313000AP0151,,,69,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.074107,46.248355
2025-305,2025-01-16,000001,Vente,480000,,,PREVESSIN,B033,01280,01313,Prévessin-Moëns,01,,,01313000AI0434,,,,,,,,,,,,,0,,,,,S,sols,,,734,6.080135,46.254387
2025-500,2025-01-16,000001,Vente en l'état futur d'achèvement,503000,,,IMP DU MANDEMENT,0058,01280,01313,Prévessin-Moëns,01,,,01313000AW0078,,,39,,,,,,,,,,1,,,,,,,,,,6.067046,46.254102
2025-500,2025-01-16,000001,Vente en l'état futur d'achèvement,503000,,,IMP DU MANDEMENT,0058,01280,01313,Prévessin-Moëns,01,,,01313000AW0078,,,26,,,,,,,,,,1,,,,,,,,,,6.067046,46.254102
2025-501,2025-01-15,000001,Vente en l'état futur d'achèvement,291500,,,IMP DU MANDEMENT,0058,01280,01313,Prévessin-Moëns,01,,,01313000AW0078,,,27,,,,,,,,,,1,,,,,,,,,,6.067046,46.254102
2025-501,2025-01-15,000001,Vente en l'état futur d'achèvement,291500,,,IMP DU MANDEMENT,0058,01280,01313,Prévessin-Moëns,01,,,01313000AW0078,,,52,,,,,,,,,,1,,,,,,,,,,6.067046,46.254102
2025-525,2025-01-14,000001,Vente,265000,90,,IMP DES PLATANES,0086,01280,01313,Prévessin-Moëns,01,,,01313000AO0124,,,27,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.076887,46.248588
2025-525,2025-01-14,000001,Vente,265000,90,,IMP DES PLATANES,0086,01280,01313,Prévessin-Moëns,01,,,01313000AO0124,,,104,,149,42.76,,,,,,,2,2,Appartement,42,2,,,,,,6.076887,46.248588
2025-525,2025-01-14,000001,Vente,265000,90,,IMP DES PLATANES,0086,01280,01313,Prévessin-Moëns,01,,,01313000AO0124,,,104,,149,42.76,,,,,,,2,3,Dépendance,,0,,,,,,6.076887,46.248588
2025-534,2025-01-17,000001,Vente,389000,33,,MAIL DU NEUTRINO,0077,01280,01313,Prévessin-Moëns,01,,,01313000AP0075,,,532,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.071661,46.250459
2025-534,2025-01-17,000001,Vente,389000,33,,MAIL DU NEUTRINO,0077,01280,01313,Prévessin-Moëns,01,,,01313000AP0075,,,839,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.071661,46.250459
2025-534,2025-01-17,000001,Vente,389000,33,,MAIL DU NEUTRINO,0077,01280,01313,Prévessin-Moëns,01,,,01313000AP0075,,,402,88.2,,,,,,,,,1,2,Appartement,87,4,,,,,,6.071661,46.250459
2025-649,2025-01-16,000001,Vente,290000,73,,ALL DU CEDRE,0371,01280,01313,Prévessin-Moëns,01,,,01313251BL0283,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,,,435,6.091331,46.260688
2025-649,2025-01-16,000001,Vente,290000,,,ALL DU CEDRE,0371,01280,01313,Prévessin-Moëns,01,,,01313251BL0284,,,,,,,,,,,,,0,,,,,S,sols,,,198,6.091205,46.260705
2025-678,2025-01-16,000001,Vente,390000,85,,IMP DES PLATANES,0086,01280,01313,Prévessin-Moëns,01,,,01313000AO0124,,,126,60.57,83,,,,,,,,2,3,Dépendance,,0,,,,,,6.076887,46.248588
2025-678,2025-01-16,000001,Vente,390000,85,,IMP DES PLATANES,0086,01280,01313,Prévessin-Moëns,01,,,01313000AO0124,,,42,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.076887,46.248588
2025-678,2025-01-16,000001,Vente,390000,85,,IMP DES PLATANES,0086,01280,01313,Prévessin-Moëns,01,,,01313000AO0124,,,126,60.57,83,,,,,,,,2,2,Appartement,60,3,,,,,,6.076887,46.248588
2025-838,2025-01-22,000001,Vente,620000,26,,IMP DES PAPILLONS,0640,01280,01313,Prévessin-Moëns,01,,,01313000AM0137,,,10,91.28,,,,,,,,,1,1,Maison,92,3,,,,,,6.084542,46.249362
